ID,DIVISION,CODE,PARENT,NAME,NAME_EN,NAME_RU,NAME_AR,DESCRIPTION,DESCRIPTION_EN,DESCRIPTION_RU,DESCRIPTION_AR
9aea164516f543399979664a9b0f7a37,מדינה,,,ישראל,Israel,,,,,,
b011b7ad7d2c45498a2e5de0d6089d28,מחוז,,ישראל,חיפה (מחוז),Haifa,Хайфский,حيفا,,,,
056a8e518d6146039f2c083ed485b36f,מחוז,,ישראל,הדרום,The South,Южный,الجنوب,,,,
4e9ed1355d234eba861f4678ae0c1eef,מחוז,,ישראל,תל אביב (מחוז),Tel Aviv,Тель-Авивский,تل أبيب,,,,
9d901ec9c2d8494fb564473880e3e60f,מחוז,,ישראל,המרכז,The Center,Центральный,المركز,,,,
528d9f45667a4d34b39fc1a1a1e2a7f4,מחוז,,ישראל,אזור יהודה והשומרון,Yehuda and Shumron,Иудея и Самария,يهودا والسامرة,,,,
a9231ab5ecf14d9f885e4b0e70e662b0,מחוז,,ישראל,הצפון,The North,Северный,الشمال,,,,
aa7658b6f0c14b18b596994538b8ff01,מחוז,,ישראל,ירושלים (מחוז),Jerusalem,Иерусалимский,القدس,,,,
d3bf007d81ba4515beb14e9cc58c5529,נפה,,הצפון,צפת (נפה),Tzfat,,صفد,,,,
2d832fb7301f4f09806f2a7136ec74e6,נפה,,הצפון,כנרת,Kinneret,,طبريا,,,,
28d76fa20bdb4ef1a90caffc40193589,נפה,,הצפון,יזרעל,Yisrael,,يزرعيل,,,,
1a65c99d2ee846b59e5620793986e94f,נפה,,הצפון,עכו (נפה),Akko,,عكا,,,,
3fed58a1361240cebf9486731c267a3d,נפה,,הצפון,גולן,Golan,,الجولان,,,,
304786e2f0be4e82aef90cf6c17e86ff,נפה,,חיפה (מחוז),חיפה (נפה),Haifa,,حيفا,,,,
eefecc0e096e4cbeb096c1bf7a3b3b97,נפה,,חיפה (מחוז),חדרה (נפה),Hadera,,الخضيرة,,,,
20efb5d773b14d599f236d6440dde390,נפה,,המרכז,השרון,HaSharon,,شارون,,,,
37532ea869ec42178e1b1cd6794ee690,נפה,,המרכז,פתח תקווה,Petach Tikva,,بتاح تكفا,,,,
31a2260e2a7c46a69c713c649e544198,נפה,,המרכז,רמלה (נפה),Ramla,,الرملة,,,,
1ce56b583b4c417d89f70392e96a97c1,נפה,,המרכז,רחובות (נפה),Rehovot,,رحوفوت,,,,
0e3688f7a7914a4c9fc3655149f0f10c,נפה,,תל אביב (מחוז),תל אביב (נפה),Tel Aviv,,تل أبيب,,,,
27c8eb6162ca4124b2af56928a58f421,נפה,,הדרום,אשקלון (נפה),Ashkelon,,اشكلون,,,,
74c7f71312854feea14203a2d98bf18f,נפה,,הדרום,באר שבע (נפה),Be'er Sheva,,بئر السبع,,,,
550ec0ac2f3c45c59a1e45d7866db197,עירייה,2710,חיפה (נפה),אום אל-פחם,Uum Al-Fahem,Умм-эль-Фахм,أم الفحم,,,,
150cdd10db4f436a89e5f13301d3a88a,עירייה,0031,הדרום,אופקים,Ofekim,Офаким,أوفاكيم,,,,
53c59b6a7f604d8f937f7a312724fb13,עירייה,2400,תל אביב (נפה),אור יהודה,Or Yehuda,Ор-Йехуда,أور یهودا,,,,
7e068312974f4282b94d77b392fc96f6,עירייה,1020,חיפה (נפה),אור עקיבא,Or Akiva,Ор-Акива,أور عقيفا,,,,
12c7cda647494943925ad81fae7d3337,עירייה,2600,הדרום,אילת,Eilat,Эйлат,إيلات,,,,
9407e8d4f25c4175a8506782c9c13793,עירייה,1309,המרכז,אלעד,Elad,Эльад,العاد,,,,
4f8c3e1b1a0f44369493c11ed81d94d3,עירייה,3570,אזור יהודה והשומרון,אריאל,Ariel,Ариэль,أريئيل,,,,
6d358c62322f4f85901ca6b9d816a05d,עירייה,0070,הדרום,אשדוד,Ashdod,Ашдод,أشدود,,,,
70c1fe9f8c7a407e895efaf756fb4e31,עירייה,7100,הדרום,אשקלון,Ashkelon,Ашкелон,اشكلون,,,,
34154c9d54df417cbadea4396b2d33f4,עירייה,6000,חיפה (נפה),באקה אל-גרביה,Baka El-Garbia,Бака Эль-Гарбия,باقة الغربية,,,,
